Id,R,Nome,Squadra,Qt.I,FVM
5844,C,Thorstvedt,Sassuolo,10,32
7472,C,Cal ,Frosinone,9,30
5562,C,Thuram K.,Juventus,9,15
6398,C,Isaksen,Lazio,9,22
5504,C,Coulibaly L.,Lecce,9,16
5878,C,Colpani,Monza,9,15
7223,C,Vergara,Napoli,9,32
779,C,Cristante,Roma,9,29
6677,C,Adzic,Sassuolo,9,16
5735,C,Volpato,Sassuolo,9,24
5888,C,Casadei,Torino,9,20
530,C,Pellegrini Lo.,Roma,9,18
2077,C,Pasalic,Atalanta,8,21
5858,C,Ferguson,Bologna,8,22
4436,C,Cambiaghi,Bologna,8,22
4870,C,Adopo,Cagliari,8,13
7311,C,Romano,Cagliari,8,21
4465,C,Fagioli,Fiorentina,8,20
6294,C,Ndour,Fiorentina,8,17
7070,C,Sucic P.,Inter,8,20
827,C,Locatelli,Juventus,8,15
5761,C,Zhegrova,Juventus,8,25
4856,C,Chukwueze,Milan,8,20
6190,C,Pisilli,Roma,8,30
6717,C,Kon  I.,Sassuolo,8,20
6680,C,Karlstrom,Udinese,8,20
7551,C,Schmid,Frosinone,8,26
4364,C,Gaetano,Atalanta,7,28
5422,C,Zalewski,Atalanta,7,13
5298,C,Pobega,Bologna,7,12
2765,C,Odgaard,Bologna,7,14
4260,C,Winks,Cagliari,7,15
6010,C,Fazzini,Cagliari,7,28
5791,C,Frendrup,Genoa,7,19
5685,C,Koopmeiners,Juventus,7,20
6593,C,Akinsanmiro,Monza,7,11
6666,C,Bernab ,Parma,7,30
2528,C,Matic,Sassuolo,7,16
7060,C,Cacciamani,Torino,7,26
6783,C,Unai Gomez,Udinese,7,14
5507,C,Busio,Venezia,7,14
5946,C,Sow,Genoa,7,15
7618,C,Hutchinson,Milan,7,18
7619,C,Monteiro J.,Lecce,7,21
5680,C,Sarr P.,Juventus,7,23
6833,C,Mbangula,Bologna,7,20
7624,C,Braganca,Torino,7,19
795,C,El Shaarawy,Genoa,7,13
7412,C,Milla,Como,6,27
5036,C,Caqueret,Como,6,12
6678,C,Liberali,Como,6,13
7464,C,Oulai,Fiorentina,6,16
5998,C,Zerbin,Frosinone,6,12
6020,C,Ellertsson,Genoa,6,14
4459,C,Rovella,Lazio,6,16
6549,C,Pierotti,Lecce,6,19
2741,C,Pessina,Monza,6,15
6898,C,Keita M.,Parma,6,15
7036,C,Bakola,Sassuolo,6,18
7535,C,Fitz-Jim,Torino,6,18
6170,C,Gineitis,Torino,6,12
6218,C,Oristanio,Torino,6,12
7198,C,Piotrowski,Udinese,6,13
5674,C,Basic,Venezia,6,16
6994,C,Perez K.,Venezia,6,15
6618,C,Ciss  A.,Milan,6,38
4479,C,Elmas,Atalanta,6,21
1871,C,Deiola,Cagliari,5,8
6640,C,Felici,Cagliari,5,7
6506,C,Fini ,Frosinone,5,11
6917,C,Masini,Frosinone,5,8
4970,C,Messias,Genoa,5,8
7203,C,Jashari,Milan,5,13
5295,C,Musah,Milan,5,16
4349,C,Nicolussi Caviglia,Parma,5,16
6207,C,Almqvist,Parma,5,11
6827,C,Njie,Fiorentina,5,27
5319,C,Sohm,Venezia,5,10
7146,C,Tour  I.,Monza,5,14
22,C,De Roon,Roma,4,10
7528,C,Amondarain,Bologna,4,11
6054,C,Moro N.,Bologna,4,14
6895,C,Dominguez B.,Sassuolo,4,12
6815,C,Fadera,Cagliari,4,12
7127,C,Addai,Como,4,10
7473,C,Cichella,Frosinone,4,12
7341,C,Amorim,Genoa,4,11
7409,C,Meichtry,Genoa,4,11
2857,C,Traor  Hj.,Genoa,4,9
5301,C,Luis Henrique,Inter,4,12
2529,C,Mkhitaryan,Inter,4,9
4911,C,Douglas Luiz,Juventus,4,13
6629,C,Dele-Bashiru,Lazio,4,13
5457,C,Maleh,Lecce,4,7
