,,,,,,,,,,
1ª Giornata lega,,3ª Giornata serie a,,,,2ª Giornata lega,,4ª Giornata serie a,,
Borussia Mgladbach,0,0,Union Berlino,-,,Wolfsburg,0,0,Borussia Dortmund,-
25ª Giornata lega,,27ª Giornata serie a,,,,26ª Giornata lega,,28ª Giornata serie a,,
Borussia Dortmund,0,0,Friburgo,-,,Borussia Dortmund,0,0,EINTRACHT FRANCOFORTE,-
Red Bull Lipsia,0,0,Bayer 04 Leverkusen,-,,Friburgo,0,0,Bayern Monaco,-
Bayern Monaco,0,0,Wolfsburg,-,,Hoffenheim,0,0,Red Bull Lipsia,-
Borussia Mgladbach,0,0,Hoffenheim,-,,Bayer 04 Leverkusen,0,0,Union Berlino,-
Union Berlino,0,0,EINTRACHT FRANCOFORTE,-,,Wolfsburg,0,0,Borussia Mgladbach,-
27ª Giornata lega,,29ª Giornata serie a,,,,28ª Giornata lega,,30ª Giornata serie a,,
Red Bull Lipsia,0,0,Wolfsburg,-,,Borussia Dortmund,0,0,Red Bull Lipsia,-
Bayern Monaco,0,0,Borussia Dortmund,-,,Bayern Monaco,0,0,Borussia Mgladbach,-
EINTRACHT FRANCOFORTE,0,0,Bayer 04 Leverkusen,-,,Bayer 04 Leverkusen,0,0,Hoffenheim,-
Borussia Mgladbach,0,0,Friburgo,-,,EINTRACHT FRANCOFORTE,0,0,Union Berlino,-
Union Berlino,0,0,Hoffenheim,-,,Wolfsburg,0,0,Friburgo,-
29ª Giornata lega,,31ª Giornata serie a,,,,30ª Giornata lega,,32ª Giornata serie a,,
Friburgo,0,0,Borussia Dortmund,-,,Bayern Monaco,0,0,Union Berlino,-
Red Bull Lipsia,0,0,Bayern Monaco,-,,Bayer 04 Leverkusen,0,0,EINTRACHT FRANCOFORTE,-
Hoffenheim,0,0,EINTRACHT FRANCOFORTE,-,,Borussia Mgladbach,0,0,Red Bull Lipsia,-
Borussia Mgladbach,0,0,Bayer 04 Leverkusen,-,,Friburgo,0,0,Hoffenheim,-
Union Berlino,0,0,Wolfsburg,-,,Borussia Dortmund,0,0,Wolfsburg,-
31ª Giornata lega,,33ª Giornata serie a,,,,32ª Giornata lega,,34ª Giornata serie a,,
Wolfsburg,0,0,Bayern Monaco,-,,Bayer 04 Leverkusen,0,0,Bayern Monaco,-
Union Berlino,0,0,Bayer 04 Leverkusen,-,,Hoffenheim,0,0,Wolfsburg,-
Hoffenheim,0,0,Borussia Dortmund,-,,Friburgo,0,0,Union Berlino,-
Red Bull Lipsia,0,0,Friburgo,-,,EINTRACHT FRANCOFORTE,0,0,Red Bull Lipsia,-
EINTRACHT FRANCOFORTE,0,0,Borussia Mgladbach,-,,Borussia Mgladbach,0,0,Borussia Dortmund,-
33ª Giornata lega,,35ª Giornata serie a,,,,34ª Giornata lega,,36ª Giornata serie a,,
Bayern Monaco,0,0,Hoffenheim,-,,EINTRACHT FRANCOFORTE,0,0,Bayern Monaco,-
Borussia Dortmund,0,0,Bayer 04 Leverkusen,-,,Wolfsburg,0,0,Red Bull Lipsia,-
Wolfsburg,0,0,EINTRACHT FRANCOFORTE,-,,Union Berlino,0,0,Borussia Dortmund,-
Red Bull Lipsia,0,0,Union Berlino,-,,Hoffenheim,0,0,Borussia Mgladbach,-
Friburgo,0,0,Borussia Mgladbach,-,,Bayer 04 Leverkusen,0,0,Friburgo,-
35ª Giornata lega,,37ª Giornata serie a,,,,36ª Giornata lega,,38ª Giornata serie a,,
Bayern Monaco,0,0,Friburgo,-,,Borussia Dortmund,0,0,Bayern Monaco,-
Hoffenheim,0,0,Union Berlino,-,,Friburgo,0,0,EINTRACHT FRANCOFORTE,-
Bayer 04 Leverkusen,0,0,Red Bull Lipsia,-,,Red Bull Lipsia,0,0,Hoffenheim,-
EINTRACHT FRANCOFORTE,0,0,Borussia Dortmund,-,,Union Berlino,0,0,Borussia Mgladbach,-
Borussia Mgladbach,0,0,Wolfsburg,-,,Wolfsburg,0,0,Bayer 04 Leverkusen,-
